X,Y,FID,MSOA21CD,GlobalID,GlobalID_2
408508.6921,285408.7017,38,E02001897,bfb070f7-c655-4cbd-8f52-26aa4061fbb5,e41a0afe-ba1a-4eaf-8e3e-ffb92b535a55
531845.5448,195539.4581,39,E02000293,3d041419-474f-401e-bd75-c04dba2cd808,c060a1d9-c668-4864-a644-05b1dd44af99
363378.0755,174828.809900001,40,E02003032,623a90f8-6aec-4fa2-bede-17acf2c10e9b,cb5c0667-67c4-4909-a032-19bdad343642
592584.295,174683.4287,41,E02005115,61d9166d-04b4-4984-859a-3f5c907dfcef,42ac4d96-46be-4a29-87fc-0c546210f8f4
252711.6482,53221.2160999998,42,E02003151,0c2cf48b-9ead-4d80-83c6-d8f332afb8ca,afe8963f-3aa1-4325-b0e2-725774d81f51
573705.3408,169727.327299999,43,E02003319,365002bd-62d5-442a-a20c-cd6a91cb59bb,b2b997e7-c6c6-473d-b388-7fd271c16e05
534869.4251,172389.759199999,44,E02000680,465f1da9-9d74-45a1-9f4a-b48526bb5e39,05466251-0a4f-4d19-b9f8-2802d428dd31
542871.3303,190488.954600001,45,E02000758,7b7686c5-a545-4f82-ba63-cf215a4f6c73,36bd8872-335a-47c2-a17e-f1a044a0a27f
181937.1073,61188.8578999992,46,E02003955,153f9d90-0748-4494-b531-6f414a3d07b3,9de76501-bc68-4b9b-8c67-7f8b7a6dd507
356187.0979,116349.9366,47,E02006089,e27e2ed5-22b0-4513-8c7f-372a74404c76,4399315e-30d1-4de2-a1b9-264d63b6a134
332092.0019,162019.021,48,E02003082,6483ae87-de34-46d5-bf43-2634db7fc8b5,d9accd6e-3597-45d9-ae78-ba11ca7abf0f
573235.6051,161681.3465,49,E02005149,73aa417b-3247-4838-a46c-1d419094e584,343a2dfc-72e7-4359-b922-6f2dedcccfa0
530395.8783,172803.3191,50,E02000643,f3bef433-eefb-4028-8b69-c73395c6aceb,61435bcd-b19e-40f2-a35a-2bf6bc331c44
524350.0819,182020.427999999,51,E02000577,2c3360da-c539-4913-bd69-fc55742e5a2e,5271aca0-b4e6-408b-8368-c0941e84ba02
